Obs,Study,Authors,Year_.online.,Year_.print.,Title,Journal,Pub_year_IF,X2017_IF,Average_n,Effect_type,Species,Climate_.FishBase.,Env_cue.stimulus.,Cue.stimulus_type,Behavioural_metric,Life_stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd,InRR,InRR_V
560,a65,Kwan et al,2017,2017,CO2-induced ocean acidification does not affect individual or group behaviour in a temperate damselfish,R Soc Open Sci,2.504,2.504,9,No,Chromis_punctipinnis,Subtrop,Yes,Kin,"Fig 3, Inter-individual distance, stable",Juvenile,6,157.4899,49.237,6,142.0498,58.6802,-0.103183629,0.044731583
720,a84,Sundin & Jutfelt,2018,2018,Effects of elevated carbon dioxide on male and female behavioural lateralization in a temperate goby,R Soc Open Sci,2.504,2.504,21,Weak,Gobiusculus_flavescens,Temp,No,NA,"Absolute lateralization, Year 2, female",Adult,16,31.492,19.76,22,42.093,27.9971,0.290147911,0.044715387
64,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus_wardi,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2b)",Larvae,17,1.972,1.69,17,91.831,14.085,3.840901675,0.044586519
769,a88,Jiahuan et al,2018,2018,"Ocean Acidification Impairs Foraging Behavior by Interfering With Olfactory Neural Signal Transduction in Black Sea Bream,?Acanthopagrus schlegelii",Front Mar Sci,NA,NA,15,Strong,Acanthopagrus_schlegelii,Subtrop,Yes,Food,"Response time, high CO2",Larvae,15,6.029,2.5252,15,14,9.8219,0.84247617,0.044508086
632,a74,Goldenberg et al,2018,2018,Ecological complexity buffers the impacts of future climate on marine consumers,Nat Clim Change,19.181,19.181,105,Weak,Not_provided,Not provided,Yes,Prey,Olfactory cue attraction,Not provided,165,48.75,83.1986,165,31.364,65.6905,-0.441044459,0.044238525
396,a39,Jutfelt & Hedgarde,2015,2015,Juvenile Atlantic cod behavior appears robust to near-future CO2 levels,Front Zool,3.042,3.627,21,No,Gadus_morhua,Temp,No,NA,Absolute lateralization,Juvenile,21,48.553,31.7023,17,39.497,24.8953,-0.206431265,0.043671532
480,a52,Nagelkerken et al,2015,2016,Ocean acidification alters fish populations indirectly through habitat modification,Nat Clim Change,17.184,19.181,89,Strong,Gobius_bucchichi,Subtrop,Yes,Mimicked threat,"Startle distance, turf algae",Not provided,73,1.619,1.6661,73,0.74,1.0765,-0.782913767,0.043496836
235,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change activity, combo, Fig3",Larvae,29,54.645,31.6163,29,35.667,34.0504,-0.426631828,0.042970869
154,a11,Ferrari et al,2012,2012,Effects of Ocean Acidification on Learning in Coral Reef Fishes,PLOS One,3.73,2.766,17,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Change in line crosses, conspecifics, Fig 4",Juvenile,15,-39.403,16.1852,15,-28.657,19.6554,-0.318444214,0.042610813
456,a48,Milazzo et al,2016,2016,Ocean acidification affects fish spawning but not paternity at CO2 seeps,Proc R Soc B,4.94,4.847,13,No,Symphodus_ocellatus,Subtrop,Yes,Mate,Time spent courting,Adult,14,21.122,13.0403,18,15.816,8.2998,-0.289293065,0.0425248
509,a58,Sundin & Jutfelt,2015,2016,9?28 d of exposure to elevated pCO2 reduces avoidance of predator odour but had no effect on behavioural lateralization or swimming activity in a temperate wrasse (Ctenolabrus rupestris),ICES J Mar Sci,2.626,2.906,17,Weak,Ctenolabrus_rupestris,Temp,No,NA,"Absolute lateralization, 9 days acclimation water",Juvenile,24,30,24.3168,24,39.1666,23.2036,0.266626961,0.041999366
529,a62,Ferrari et al,2017,2017,Predation in High CO2 Waters: Prey Fish from High-Risk Environments are Less Susceptible to Ocean Acidification,Integr Comp Biol,2.751,2.751,25,Strong,Pomacentrus_amboinensis,Trop,Yes,Prey,"Distance ventured, low risk",Juvenile,25,6.145,4,25,8.291,6.545,0.299531846,0.041875431
203,a19,Forsgen et al,2013,2013,Elevated CO 2 affects embryonic development and larval phototaxis in a temperate marine fish,Ecol Evol,1.658,2.34,10,Strong,Gobiusculus_flavescens,Temp,Yes,Light,Phototaxis,Larvae,14,35.665,22.9064,11,62.281,22.951,0.557486588,0.041809879
582,a69,Sundin et al,2017,2017,No effect of elevated carbon dioxide on reproductive behaviors in the three-spined stickleback,Behav Ecol,3.347,3.347,16,No,Gasterosteus_aculeatus,Subtrop,Yes,Mate,Mating duration,Adult,17,47.7059,15.3247,16,51.4375,38.8037,0.075312398,0.041638615
700,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - estuary, 20 dph",Larvae,10,46.667,22.3225,10,49.084,21.0829,0.050495839,0.041329859
536,a64,Jarrold et al,2017,2017,Diel CO2 cycles reduce severity of behavioural abnormalities in coral reef fish under ocean acidification,Sci Rep,4.122,4.122,40,Strong,Acanthochromis_polyacanthus,Trop,No,NA,"Absolute lateralization, Fig 1, 1000 uatm",Juvenile,60,38.118,28.3333,60,20.471,28.3333,-0.621677361,0.041135875
640,a75,Laubenstein et al,2018,2018,Correlated Effects of Ocean Acidification and Warming on Behavioral and Metabolic Traits of a Large Pelagic Fish,Diversity,NA,NA,34,No,Seriola_lalandi,Subtrop,No,NA,Time spent in inner zone,Larvae,29,132.4138,108.8234,38,102.6807,84.2935,-0.254307694,0.041025394
468,a51,Nadler et al,2016,2016,Effect of elevated carbon dioxide on shoal familiarity and metabolism in a coral reef fish,Conserv Physiol,2.323,3.46,15,No,Chromis_viridis,Subtrop,Yes,Kin,"Prop time spent w/ shoal, 1000 uatm, unfamiliar",Not provided,18,0.377,0.2291,18,0.496,0.3012,0.274330739,0.041002905
820,a92,Clark et al,2020,2020,Ocean acidification does not impair the behaviour of coral reef fishes,Nature,69.5,41.58,45,Weak,Pomacentrus_amboinensis,Trop,No,NA,Activity,Adult,21,17.34102229,11.4515882,22,18.39429006,12.20032581,0.058965368,0.04076298
826,a92,Clark et al,2020,2020,Ocean acidification does not impair the behaviour of coral reef fishes,Nature,69.5,41.58,45,Weak,Pomacentrus_amboinensis,Trop,No,NA,Activity,Adult,21,17.34102229,11.4515882,22,18.39429006,12.20032581,0.058965368,0.04076298
432,a44,Rossi et al,2015,2015,Ocean acidification boosts larval fish development but reduces the window of opportunity for successful settlement,Proc R Soc B,4.823,4.847,35,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time close to speaker, 13-15 days",Larvae,36,48.18,40.416,36,48.766,42.174,0.012089352,0.040322134
43,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, 10 dph,850ppm (Fig 1)",Larvae,25,1.00E-04,1.00E-04,25,93.735,4.337,13.75081202,0.040085632
160,a12,Ferrari et al,2012,2012,Effects of ocean acidification on visual risk assessment in coral reef fishes,Funct Ecol,4.861,5.491,25,Strong,Pomacentrus_amboinensis,Trop,Yes,Food,"Prop decrease feeding, 850 uatm",Juvenile,25,0.651,0.1689,25,0.389,0.3752,-0.514930299,0.039904804
624,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"% time in middle zone, High CO2, 7 days, Fig S2",Juvenile,10,45.682,21.1398,10,49.304,21.1398,0.076300866,0.039798568
555,a65,Kwan et al,2017,2017,CO2-induced ocean acidification does not affect individual or group behaviour in a temperate damselfish,R Soc Open Sci,2.504,2.504,9,No,Chromis_punctipinnis,Subtrop,Yes,Kin,"Fig 2, Time near walls, oscillating",Juvenile,6,284.8175,113.02,6,290.9086,82.9104,0.021160504,0.039781731
718,a84,Sundin & Jutfelt,2018,2018,Effects of elevated carbon dioxide on male and female behavioural lateralization in a temperate goby,R Soc Open Sci,2.504,2.504,21,Weak,Gobiusculus_flavescens,Temp,No,NA,"Absolute lateralization, Year 1, female",Adult,30,32.317,22.5497,24,32.317,24.201,0,0.039595721
733,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,No,NA,"Posture, baseline, post, High CO2",Juvenile,36,1.027,0.99,36,1.285,0.894,0.224116787,0.039257487
554,a65,Kwan et al,2017,2017,CO2-induced ocean acidification does not affect individual or group behaviour in a temperate damselfish,R Soc Open Sci,2.504,2.504,9,No,Chromis_punctipinnis,Subtrop,Yes,Kin,"Fig 2, Time near walls, stable",Juvenile,6,284.8175,113.02,6,342.1451,95.3249,0.183386292,0.039180973
224,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change activity, predator, Fig2",Larvae,29,41.371,30.0708,29,35.279,27.3351,-0.159292266,0.038919896
742,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,No,NA,"Posture, DS response, pre, Mid CO2",Juvenile,36,1.371,1.272,36,1.195,0.87,-0.137394215,0.038634081
186,a17,Allan et al,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,Reaction distance,Larvae,19,0.06,0.033,19,0.043,0.028,-0.333144447,0.038237525
714,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,% time near speaker - white noise. 20 dph,Larvae,10,50.065,25.2982,10,42.323,14.6888,-0.167991488,0.037578886
487,a53,Nasuchon et al,2016,2016,Escape responses of the Japanese anchovy Engraulis japonicus under elevated temperature and CO2 conditions,Fish Sci,0.839,0.794,14,No,Engraulis_japonicus,Temp,Yes,Mimicked threat,Response latency,Adult,15,6.3,4,12,7.3,2.6,0.147324715,0.037446037
87,a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus_nagasakiensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,20,0.511,0.1386,20,0.294,0.2415,-0.552789823,0.037415609
393,a38,Heinrich et al,2015,2016,Foraging behaviour of the epaulette shark Hemiscyllium ocellatum is not affected by elevated CO2,ICES J Mar Sci,2.626,2.906,11,No,Hemiscyllium_ocellatum,Trop,Yes,Habitat,"Activity, High CO2",Adult,10,0.6519,0.2918,11,0.5494,0.24,-0.171064402,0.037384012
743,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,No,NA,"Posture, DS response, pre, High CO2",Juvenile,36,1.371,1.272,36,1.324,0.918,-0.034882943,0.037264811
635,a74,Goldenberg et al,2018,2018,Ecological complexity buffers the impacts of future climate on marine consumers,Nat Clim Change,19.181,19.181,105,Weak,Not_provided,Not provided,Yes,Prey,Feeding activity,Not provided,165,0.44,0.4239,165,0.39,0.8863,-0.120627988,0.036925483
455,a47,Lopes et al,2016,2016,Behavioural lateralization and shoaling cohesion of fish larvae altered under ocean acidification,Mar Biol,2.136,2.215,15,Strong,Atherina_presbyter,Subtrop,No,NA,"Absolute lateralization, Run 2, sham, Fig 5",Larvae,7,40,11.98,14,24.34,14.121,-0.496758367,0.03685583
36,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, 6 dph, 700ppm (Fig 1)",Larvae,22,9.62,2.278,22,41.519,35.949,1.462306889,0.036625466
522,a60,Castro et al,2017,2017,Painted Goby Larvae under High-CO2 Fail to Recognize Reef Sounds,PloS One,2.766,2.766,29,Strong,Pomatoschistus_pictus,Temp,Yes,Auditory,"% time in reef recording, Fig 3",Larvae,30,80.216,27.5833,28,28.058,26.648,-1.0504492,0.036156362
288,a29,Green & Jutfelt,2014,2014,Elevated carbon dioxide alters the plasma composition and behaviour of a shark,Biol Lett,3.248,3.345,7,Strong,Scyliorhinus_canicula,Subtrop,No,NA,No. swimming events,Adult,6,11.659,2.8659,5,5.582,2.0125,-0.736531279,0.036067367
778,a89,Borges et al.,2019,2019,Ocean warming and acidification may challenge the riverward migration of glass eels,Biol Lett,3.345,3.345,8,Weak,Anguilla_anguilla,Temp,Yes,Habitat,"Proportion exhibiting migratory response, FW test",Larvae,8,0.3514,0.125,8,0.3742,0.1495,0.062865238,0.035769014
503,a55,Rossi et al,2016,2016,Lost at sea: ocean acidification undermines larval fish orientation via altered hearing and marine soundscape modification,Biol Lett,3.089,3.345,64,Strong,Argyrosomus_japonicus,Trop,Yes,Auditory,"% time in loud chamber sections, high co2 soundscapoe",Larvae,64,50.781,47.92,64,44.389,51.872,-0.134530578,0.035251068
502,a55,Rossi et al,2016,2016,Lost at sea: ocean acidification undermines larval fish orientation via altered hearing and marine soundscape modification,Biol Lett,3.089,3.345,64,Strong,Argyrosomus_japonicus,Trop,Yes,Auditory,"% time in loud chamber sections, ctrl soundscape",Larvae,64,65.586,43.888,64,37.761,50,-0.552085435,0.034391747
761,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Food,"Feeding strikes, first feeding, High CO2",Juvenile,36,5.133,3.936,36,4.829,3.84,-0.061050877,0.033897864
204,a19,Forsgen et al,2013,2013,Elevated CO 2 affects embryonic development and larval phototaxis in a temperate marine fish,Ecol Evol,1.658,2.34,10,Strong,Gobiusculus_flavescens,Temp,Yes,Light,Swim time,Larvae,7,64.115,22.6,7,39.479,13.2288,-0.484909461,0.033790278
674,a80,Raby et al,2018,2018,Exposure to elevated carbon dioxide does not impair shortterm swimming behaviour or shelter-seeking in a predatory coral-reef fish,J Fish Biol,1.702,1.702,11,No,Cephalopholis_cyanostigma,Trop,Yes,Habitat,Time to ocean floor,Adult,10,8.592,2.4067,11,8.169,4.3615,-0.050485035,0.033760535
234,a22,L?nnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,"Mean change activity, predator, Fig3",Larvae,29,41.364,28.5575,29,35,24.7502,-0.167062876,0.033679462
187,a17,Allan et al,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pomacentrus_amboinensis,Trop,Yes,Predator,Apparent looming threshold,Larvae,17,5.49,2.7295,16,6,3.2753,0.088831214,0.033164562
764,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Food,"Feeding strikes, post DS response, Mid CO2",Juvenile,36,7.868,5.28,36,6.604,5.658,-0.175128374,0.032899031
30,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, 4 dph, 700ppm (Fig 1)",Larvae,20,9.62,3.038,20,44.051,32.658,1.521503789,0.032467818
762,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Predator + food,"Feeding strikes, DS response, Mid CO2",Juvenile,36,5.293,3.936,36,5.261,4.128,-0.00606407,0.032462187
202,a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron_canadum,Subtrop,Yes,Food,"Max speed, High CO2, olfactory stimulation",Larvae,60,4,1.859,60,3.43,4.4927,-0.1537341,0.032193905
246,a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus_leopardus,Trop,Yes,Predator,"% time in cue, 570 uatm, Day 4",Juvenile,20,6.23,4.262,20,10.164,4.262,0.489475733,0.03219186
623,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Novel object,"% time in middle zone, Mid CO2, 7 days, Fig S2",Juvenile,10,45.682,21.1398,10,49.582,15.8557,0.081923517,0.031641077
258,a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus_leopardus,Trop,Yes,Shelter,"Distance from shelter, 570 uatm",Juvenile,10,6.316,3.308,10,13.835,2.707,0.784115517,0.031259731
372,a36,Faliero et al,2015,2015,Seahorses under a changing ocean: the impact of warming and acidification on the behaviour and physiology of a poor-swimming bony-armoured fish?,Conserv Physiol,NA,3.46,6,Strong,Hippocampus_guttulatus<ca>,Temp,Yes,Food,Feed intake,Adult,6,30.446,11.139,6,7.55,1.733,-1.394407059,0.031090191
713,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - white noise, 19 dph",Larvae,10,55.226,26.9426,10,64,17.1364,0.147449226,0.030970156
177,a14,Nilsson et al,2012,2012,Near-future carbon dioxide levels alter fish behaviour by interfering with neurotransmitter function,Nat Clim Chang,14.472,19.181,14,Strong,Amphiprion_percula,Trop,Yes,Predator,"% time in cue, pred vs. non-pred",Larvae,14,7.348,4.7818,16,53.994,5.112,1.994444762,0.030809616
466,a51,Nadler et al,2016,2016,Effect of elevated carbon dioxide on shoal familiarity and metabolism in a coral reef fish,Conserv Physiol,2.323,3.46,15,No,Chromis_viridis,Subtrop,Yes,Kin,"Prop time spent w/ shoal, 1000 uatm, familiar",Not provided,18,0.622,0.2249,18,0.504,0.3267,-0.210363825,0.030606592
588,a69,Sundin et al,2017,2017,No effect of elevated carbon dioxide on reproductive behaviors in the three-spined stickleback,Behav Ecol,3.347,3.347,16,No,Gasterosteus_aculeatus,Subtrop,Yes,Offspring (kin),"Fanning, day 5",Adult,14,22.6695,8.0176,15,24.6101,14.0243,0.082136519,0.030583961
788,a90,Hurst et al,2019,2019,"Elevated CO2 alters behavior, growth, and lipid composition of Pacific cod larvae",Mar Environ Res,3.159,3.159,66,Weak,Gadus_macrocephalus,Boreal,Yes,Light,"Tank position, mid CO2, top figure panel, time 8",Larvae,66,2.75,3.1846,66,2.078,1.706,-0.280195019,0.0305312
523,a60,Castro et al,2017,2017,Painted Goby Larvae under High-CO2 Fail to Recognize Reef Sounds,PloS One,2.766,2.766,29,Strong,Pomatoschistus_pictus,Temp,Yes,Auditory,"% time in reef recording, Fig 4",Larvae,30,66.346,26.3345,28,38.462,32.2253,-0.545212732,0.030322724
454,a47,Lopes et al,2016,2016,Behavioural lateralization and shoaling cohesion of fish larvae altered under ocean acidification,Mar Biol,2.136,2.215,15,Strong,Atherina_presbyter,Subtrop,No,NA,"Absolute lateralization, Run 1, sham, Fig 5",Larvae,15,40.755,16.8087,16,31.509,17.36,-0.257305312,0.030311929
66,a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus_wardi,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2b)",Larvae,20,1.69,1.127,109,48.438,45.312,3.355556101,0.030263747
518,a59,Allan et al,2017,2017,Warming has a greater effect than elevated CO2 on predator?prey interactions in coral reef fish,Proc R Soc B,4.847,4.847,18,Weak,Pomacentrus_wardi,Trop,Yes,Predator,Escape speed,Larvae,17,0.416,0.1855,18,0.331,0.1909,-0.228566885,0.030175609
797,a90,Hurst et al,2019,2019,"Elevated CO2 alters behavior, growth, and lipid composition of Pacific cod larvae",Mar Environ Res,3.159,3.159,66,Weak,Gadus_macrocephalus,Boreal,Yes,Light,"Tank position, high CO2, top figure panel, time 8",Larvae,66,2.75,3.1846,66,2.149,1.706,-0.246598294,0.029867547
469,a51,Nadler et al,2016,2016,Effect of elevated carbon dioxide on shoal familiarity and metabolism in a coral reef fish,Conserv Physiol,2.323,3.46,15,No,Chromis_viridis,Subtrop,Yes,Kin,"Activity (shoal visits), 700 uatm",Not provided,18,45.441,20.5895,18,46.324,26.2025,0.019245404,0.029180378
286,a28,Domenici et al,2014,2014,Shifting from Right to Left: The Combined Effect of Elevated CO2 and Temperature on Behavioural Lateralization in a Coral Reef Fish,PLOS One,3.234,2.766,50,Strong,Pomacentrus_wardi,Trop,No,NA,Absolute lateralization,Larvae,58,31.896,24.5304,42,28.104,24.912,-0.126568695,0.028906038
698,a82,Rossi et al,2018,2018,On the wrong track: ocean acidification attracts larval fish to irrelevant environmental cues,Sci Rep,4.122,4.122,12,Strong,Lates_calcarifer,Trop,Yes,Auditory,"% time near speaker - estuary, 18 dph",Larvae,10,54.51,17.3609,10,37.255,16.1213,-0.380598007,0.028868995
467,a51,Nadler et al,2016,2016,Effect of elevated carbon dioxide on shoal familiarity and metabolism in a coral reef fish,Conserv Physiol,2.323,3.46,15,No,Chromis_viridis,Subtrop,Yes,Kin,"Prop time spent w/ shoal, 750 uatm, unfamiliar",Not provided,18,0.377,0.2291,18,0.537,0.2079,0.353752907,0.028843095
86,a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus_nagasakiensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.511,0.1386,20,0.355,0.2504,-0.364251801,0.028554444
504,a55,Rossi et al,2016,2016,Lost at sea: ocean acidification undermines larval fish orientation via altered hearing and marine soundscape modification,Biol Lett,3.089,3.345,64,Strong,Argyrosomus_japonicus,Trop,Yes,Auditory,"% time in loud chamber sections, ctrl-ctrl vs co2-co2",Larvae,64,65.586,43.888,64,44.389,51.872,-0.390370568,0.028333732
517,a59,Allan et al,2017,2017,Warming has a greater effect than elevated CO2 on predator?prey interactions in coral reef fish,Proc R Soc B,4.847,4.847,18,Weak,Pomacentrus_wardi,Trop,Yes,Predator,Escape distance,Larvae,17,0.299,0.1484,18,0.307,0.1527,0.026404174,0.028234767
499,a54,Pimentel et al,2016,2016,"Foraging behaviour, swimming performance and malformations of early stages of commercially important fishes under ocean acidification and warming",Clim Change,3.496,3.537,12,Strong,Argyrosomus_regius,Subtrop,Yes,Food,Capture %,Larvae,12,4.697,2.7297,12,2.061,3.00E-04,-0.823732705,0.028145405
259,a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus_leopardus,Trop,Yes,Shelter,"Distance from shelter, 700 uatm",Juvenile,10,6.316,3.308,10,30.075,2.406,1.560608165,0.028071323
452,a47,Lopes et al,2016,2016,Behavioural lateralization and shoaling cohesion of fish larvae altered under ocean acidification,Mar Biol,2.136,2.215,15,Strong,Atherina_presbyter,Subtrop,No,NA,"Absolute lateralization, 7 days, Fig 4",Larvae,31,45.63,22.4604,31,24.958,19.6486,-0.603370983,0.027808965
606,a72,Davis et al,2018,2018,Juvenile rockfish show resilience to CO2- acidification and hypoxia across multiple biological scales,Conserv Physiol,3.46,3.46,24,No,Sebastes_spp.,Trop,Yes,Predator,"New area explored, 3 weeks, alarm cue",Juvenile,24,24.227,12.6149,24,20.043,12.6149,-0.189587748,0.027802429
260,a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus_leopardus,Trop,Yes,Shelter,"Distance from shelter, 960 uatm",Juvenile,10,6.316,3.308,10,36.391,1.00E-04,1.751235395,0.027431323
505,a56,Sampaio et al,2016,2016,"Habitat selection disruption and lateralization impairment of cryptic flatfish in a warm, acid, and contaminated ocean",Mar Biol,2.136,2.215,30,No,Solea_senegalensis,Trop,No,NA,Absolute lateralization,Juvenile,30,22.031,14.8248,30,26.094,15.8114,0.16925485,0.027332211
638,a75,Laubenstein et al,2018,2018,Correlated Effects of Ocean Acidification and Warming on Behavioral and Metabolic Traits of a Large Pelagic Fish,Diversity,NA,NA,34,No,Seriola_lalandi,Subtrop,No,NA,Escape distance (distance traveled),Larvae,29,1395.2334,904.1051,38,1542.2421,1075.0644,0.100175554,0.027266593
765,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Food,"Feeding strikes, post DS response, High CO2",Juvenile,36,7.868,5.28,36,6.205,4.512,-0.237448482,0.027197048
602,a72,Davis et al,2018,2018,Juvenile rockfish show resilience to CO2- acidification and hypoxia across multiple biological scales,Conserv Physiol,3.46,3.46,24,No,Sebastes_spp.,Trop,Yes,NA,"New area explored, 3 weeks, seawater cue",Juvenile,24,27.59,14.5402,24,22.374,13.6584,-0.209553818,0.027099957
161,a12,Ferrari et al,2012,2012,Effects of ocean acidification on visual risk assessment in coral reef fishes,Funct Ecol,4.861,5.491,25,Strong,Pomacentrus_amboinensis,Trop,Yes,Food,"Prop decrease line crosses, 550 uatm",Juvenile,25,0.548,0.3424,25,0.599,0.3189,0.088986311,0.026953327
609,a73,Davis et al,2017,2018,Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification,Glob Change Biol,8.997,8.997,10,No,Trematomus_bernacchii,Polar,Yes,Light,"% time in dark zone, Mid CO2",Juvenile,8,52.927,16.5604,8,54.098,18.546,0.021883611,0.026928514
447,a47,Lopes et al,2016,2016,Behavioural lateralization and shoaling cohesion of fish larvae altered under ocean acidification,Mar Biol,2.136,2.215,15,Strong,Atherina_presbyter,Subtrop,Yes,Kin,"Swimming speed, 21 days",Larvae,12,3.832,1.4896,12,3.934,1.6316,0.02626986,0.02692669
675,a80,Raby et al,2018,2018,Exposure to elevated carbon dioxide does not impair shortterm swimming behaviour or shelter-seeking in a predatory coral-reef fish,J Fish Biol,1.702,1.702,11,No,Cephalopholis_cyanostigma,Trop,Yes,Habitat,Time to shelter,Adult,10,20,5.5652,11,14.085,6.4674,-0.350621872,0.026909815
527,a62,Ferrari et al,2017,2017,Predation in High CO2 Waters: Prey Fish from High-Risk Environments are Less Susceptible to Ocean Acidification,Integr Comp Biol,2.751,2.751,25,Strong,Pomacentrus_amboinensis,Trop,Yes,Prey,"Feeding strikes, low risk",Juvenile,25,37.527,24,25,46.909,24,0.223148881,0.026830998
744,a87,Andrade et al,2018,2018,Behavioral responses of a coastal flatfish to predation-associated cues and elevated CO2,J Sea Res,1.729,1.729,36,No,Citharichthys_stigmaeus,Subtrop,Yes,Predator,"Posture, DS response, cue, Mid CO2",Juvenile,36,1.799,1.224,36,1.422,1.008,-0.235166624,0.026816605
